window,window_start,window_end,n_cells,raw_northern_limit_lat,raw_centroid_lat,raw_occupied_cells,raw_occupied_area_km2,corrected_northern_limit_lat,corrected_centroid_lat,corrected_occupied_cells,corrected_occupied_area_km2
2015-2017,2015,2017,557,40.573200560703704,36.5218000989817,103,26049.097392740325,40.573200560703704,37.391710608798604,103,26049.097392740325
2016-2018,2016,2018,886,40.512175090111526,36.26951651501956,172,43499.46360729452,40.512175090111526,37.17589480358853,172,43499.46360729452
2017-2019,2017,2019,1400,40.74061045482924,36.18151249007235,303,76629.8690291293,40.73733118672831,37.15273146743589,302,76376.96517094737
2018-2020,2018,2020,2116,40.876892232026485,36.678161976692486,519,131257.1023964294,40.8731708601924,37.17294458740164,518,131004.19853824747
2019-2021,2019,2021,2913,40.87236030741673,36.805637848570434,742,187654.66277100312,40.8729729907529,37.08990043668546,739,186895.9511964573
2020-2022,2020,2022,3410,41.01573970977954,36.769355800657095,911,230395.4148037518,41.00968835457022,36.966737671672625,905,228877.99165466015
2021-2023,2021,2023,3765,41.017045470950336,36.74734960758137,1021,258214.83920376576,41.015609133662466,36.94386832758074,1012,255938.70448012825
2022-2024,2022,2024,4006,41.13197411787417,37.06892428925879,1130,285781.35974559776,41.120021111044295,37.01285151891329,1120,283252.3211637783
2023-2025,2023,2025,4543,41.199779832034665,37.224566862565105,1354,342431.8239783534,41.15852554146961,37.08281626443876,1336,337879.5545310784
2024-2026,2024,2026,4307,41.25586255008934,37.205905769643195,1351,341673.1124038076,41.16667929599847,37.06833330059113,1330,336362.1313819867
